Ano_Mes,Indice,Inf_anual,Inf_mensual,Inf_ano_cor
2005-07,58.21,4.91,0.05,3.98
2005-08,58.21,4.88,0.00,3.98
2005-09,58.46,5.02,0.43,4.42
2005-10,58.60,5.27,0.23,4.66
2005-11,58.66,5.10,0.11,4.78
2005-12,58.70,4.85,0.07,4.85
2006-01,59.02,4.56,0.54,0.54
2006-02,59.41,4.19,0.66,1.20
2006-03,59.83,4.11,0.70,1.91
2006-04,60.09,4.12,0.45,2.37
2006-05,60.29,4.04,0.33,2.71
2006-06,60.48,3.94,0.30,3.02
2006-07,60.73,4.32,0.41,3.44
2006-08,60.96,4.72,0.39,3.85
2006-09,61.14,4.58,0.29,4.15
2006-10,61.05,4.19,-0.14,4.00
2006-11,61.19,4.31,0.24,4.24
2006-12,61.33,4.48,0.23,4.48
2007-01,61.80,4.71,0.77,0.77
2007-02,62.53,5.25,1.17,1.95
2007-03,63.29,5.78,1.21,3.18
2007-04,63.85,6.26,0.90,4.11
2007-05,64.05,6.23,0.30,4.42
2007-06,64.12,6.03,0.12,4.55
2007-07,64.23,5.77,0.17,4.72
2007-08,64.14,5.22,-0.13,4.58
2007-09,64.20,5.01,0.08,4.67
2007-10,64.20,5.16,0.01,4.68
2007-11,64.51,5.41,0.47,5.17
2007-12,64.82,5.69,0.49,5.69
2008-01,65.51,6.00,1.06,1.06
2008-02,66.50,6.35,1.51,2.58
2008-03,67.04,5.93,0.81,3.41
2008-04,67.51,5.73,0.71,4.15
2008-05,68.14,6.39,0.93,5.12
2008-06,68.73,7.18,0.86,6.02
2008-07,69.06,7.52,0.48,6.53
2008-08,69.19,7.87,0.19,6.74
2008-09,69.06,7.57,-0.19,6.53
2008-10,69.30,7.94,0.35,6.90
2008-11,69.49,7.73,0.28,7.20
2008-12,69.80,7.67,0.44,7.67
2009-01,70.21,7.18,0.59,0.59
2009-02,70.80,6.47,0.84,1.43
2009-03,71.15,6.14,0.50,1.94
2009-04,71.38,5.73,0.32,2.26
2009-05,71.39,4.77,0.01,2.28
2009-06,71.35,3.81,-0.06,2.22
2009-07,71.32,3.28,-0.04,2.18
2009-08,71.35,3.13,0.04,2.23
2009-09,71.28,3.21,-0.11,2.12
2009-10,71.19,2.72,-0.13,1.98
2009-11,71.14,2.37,-0.07,1.92
2009-12,71.20,2.00,0.08,2.00
2010-01,71.69,2.10,0.69,0.69
2010-02,72.28,2.09,0.83,1.52
2010-03,72.46,1.84,0.25,1.78
2010-04,72.79,1.98,0.46,2.24
2010-05,72.87,2.07,0.10,2.35
2010-06,72.95,2.25,0.11,2.47
2010-07,72.92,2.24,-0.04,2.42
2010-08,73.00,2.31,0.11,2.54
2010-09,72.90,2.28,-0.14,2.40
2010-10,72.84,2.33,-0.09,2.31
2010-11,72.98,2.59,0.19,2.51
2010-12,73.45,3.17,0.65,3.17
2011-01,74.12,3.40,0.91,0.91
2011-02,74.57,3.17,0.60,1.52
2011-03,74.77,3.19,0.27,1.79
2011-04,74.86,2.84,0.12,1.91
2011-05,75.07,3.02,0.28,2.20
2011-06,75.31,3.23,0.32,2.53
2011-07,75.42,3.42,0.14,2.67
2011-08,75.39,3.27,-0.03,2.64
2011-09,75.62,3.73,0.31,2.95
2011-10,75.77,4.02,0.19,3.15
2011-11,75.87,3.96,0.14,3.29
2011-12,76.19,3.73,0.42,3.73
2012-01,76.75,3.54,0.73,0.73
2012-02,77.22,3.55,0.61,1.35
2012-03,77.31,3.40,0.12,1.47
2012-04,77.42,3.43,0.14,1.62
2012-05,77.66,3.44,0.30,1.92
2012-06,77.72,3.20,0.08,2.01
2012-07,77.70,3.03,-0.02,1.98
2012-08,77.73,3.11,0.04,2.03
2012-09,77.96,3.08,0.29,2.32
2012-10,78.08,3.06,0.16,2.48
2012-11,77.98,2.77,-0.14,2.34
2012-12,78.05,2.44,0.09,2.44
2013-01,78.28,2.00,0.30,0.30
2013-02,78.63,1.83,0.44,0.74
2013-03,78.79,1.91,0.21,0.95
2013-04,78.99,2.02,0.25,1.21
2013-05,79.21,2.00,0.28,1.49
2013-06,79.39,2.16,0.23,1.73
2013-07,79.43,2.22,0.04,1.77
2013-08,79.50,2.27,0.08,1.86
2013-09,79.73,2.27,0.29,2.16
2013-10,79.52,1.84,-0.26,1.89
2013-11,79.35,1.76,-0.22,1.67
2013-12,79.56,1.94,0.26,1.94
2014-01,79.95,2.13,0.49,0.49
2014-02,80.45,2.32,0.63,1.12
2014-03,80.77,2.51,0.39,1.52
2014-04,81.14,2.72,0.46,1.98
2014-05,81.53,2.93,0.48,2.48
2014-06,81.61,2.79,0.09,2.57
2014-07,81.73,2.89,0.15,2.73
2014-08,81.90,3.02,0.20,2.94
2014-09,82.01,2.86,0.14,3.08
2014-10,82.14,3.29,0.16,3.25
2014-11,82.25,3.65,0.13,3.38
2014-12,82.47,3.66,0.27,3.66
2015-01,83.00,3.82,0.64,0.64
2015-02,83.96,4.36,1.15,1.80
2015-03,84.45,4.56,0.59,2.40
2015-04,84.90,4.64,0.54,2.95
2015-05,85.12,4.41,0.26,3.22
2015-06,85.21,4.42,0.10,3.33
2015-07,85.37,4.46,0.19,3.52
2015-08,85.78,4.74,0.48,4.02
2015-09,86.39,5.35,0.72,4.76
2015-10,86.98,5.89,0.68,5.47
2015-11,87.51,6.39,0.60,6.11
2015-12,88.05,6.77,0.62,6.77
2016-01,89.19,7.45,1.29,1.29
2016-02,90.33,7.59,1.28,2.59
2016-03,91.18,7.98,0.94,3.55
2016-04,91.63,7.93,0.50,4.07
2016-05,92.10,8.20,0.51,4.60
2016-06,92.54,8.60,0.48,5.10
2016-07,93.02,8.97,0.52,5.65
2016-08,92.73,8.10,-0.32,5.31
2016-09,92.68,7.27,-0.05,5.25
2016-10,92.62,6.48,-0.06,5.19
2016-11,92.73,5.96,0.11,5.31
2016-12,93.11,5.75,0.42,5.75
2017-01,94.07,5.47,1.02,1.02
2017-02,95.01,5.18,1.01,2.04
2017-03,95.46,4.69,0.47,2.52
2017-04,95.91,4.66,0.47,3.00
2017-05,96.12,4.37,0.23,3.23
2017-06,96.23,3.99,0.11,3.35
2017-07,96.18,3.40,-0.05,3.30
2017-08,96.32,3.87,0.14,3.44
2017-09,96.36,3.97,0.04,3.49
2017-10,96.37,4.05,0.02,3.50
2017-11,96.55,4.12,0.18,3.69
2017-12,96.92,4.09,0.38,4.09
2018-01,97.53,3.68,0.63,0.63
2018-02,98.22,3.37,0.71,1.34
2018-03,98.45,3.14,0.24,1.58
2018-04,98.91,3.13,0.46,2.05
2018-05,99.16,3.16,0.25,2.31
2018-06,99.31,3.20,0.15,2.47
2018-07,99.18,3.12,-0.13,2.34
2018-08,99.30,3.10,0.12,2.46
2018-09,99.47,3.23,0.16,2.63
2018-10,99.59,3.33,0.12,2.75
2018-11,99.70,3.27,0.12,2.87
2018-12,100.00,3.18,0.30,3.18
2019-01,100.60,3.15,0.60,0.60
2019-02,101.18,3.01,0.57,1.18
2019-03,101.62,3.21,0.43,1.62
2019-04,102.12,3.25,0.50,2.12
2019-05,102.44,3.31,0.31,2.44
2019-06,102.71,3.43,0.27,2.71
2019-07,102.94,3.79,0.22,2.94
2019-08,103.03,3.75,0.09,3.03
2019-09,103.26,3.82,0.23,3.26
2019-10,103.43,3.86,0.16,3.43
2019-11,103.54,3.84,0.10,3.54
2019-12,103.80,3.80,0.26,3.80
2020-01,104.24,3.62,0.42,0.42
2020-02,104.94,3.72,0.67,1.09
2020-03,105.53,3.86,0.57,1.67
2020-04,105.70,3.51,0.16,1.83
2020-05,105.36,2.85,-0.32,1.50
2020-06,104.97,2.19,-0.38,1.12
2020-07,104.97,1.97,0.00,1.12
2020-08,104.96,1.88,-0.01,1.12
2020-09,105.29,1.97,0.32,1.44
2020-10,105.23,1.75,-0.06,1.38
2020-11,105.08,1.49,-0.15,1.23
2020-12,105.48,1.61,0.38,1.61
2021-01,105.91,1.60,0.41,0.41
2021-02,106.58,1.56,0.64,1.05
2021-03,107.12,1.51,0.51,1.56
2021-04,107.76,1.95,0.59,2.16
2021-05,108.84,3.30,1.00,3.18
2021-06,108.78,3.63,-0.05,3.13
2021-07,109.14,3.97,0.32,3.47
2021-08,109.62,4.44,0.45,3.93
2021-09,110.04,4.51,0.38,4.33
2021-10,110.06,4.58,0.01,4.34
2021-11,110.60,5.26,0.50,4.86
2021-12,111.41,5.62,0.73,5.62
2022-01,113.26,6.94,1.67,1.67
2022-02,115.11,8.01,1.63,3.33
2022-03,116.26,8.53,1.00,4.36
2022-04,117.71,9.23,1.25,5.66
2022-05,118.70,9.07,0.84,6.55
2022-06,119.31,9.67,0.51,7.09
2022-07,120.27,10.21,0.81,7.96
2022-08,121.50,10.84,1.02,9.06
2022-09,122.63,11.44,0.93,10.08
